flag,净利润,净利润.1,净利润.2,纳税总额,纳税总额.1,纳税总额.2
1,-7216.0,-34686.0,-17220.0,0.0,0.0,0.0
1,-11524.8,-15590.4,-3024.0,0.0,0.0,0.0
1,-50284.0,-132962.5,-132285.6,0.0,0.0,0.0
1,-65542.4,-18392.0,-32102.4,0.0,0.0,0.0
1,-40286.4,-48396.0,-251136.0,0.0,0.0,0.0
1,-14516.8,-7596.0,-37220.4,0.0,0.0,0.0
1,-8153.6,-27283.2,-8064.0,0.0,0.0,0.0
1,-27713.0,-25680.0,-132680.0,0.0,0.0,0.0
1,-14700.0,-56000.0,-11900.0,0.0,0.0,0.0
1,-13759.2,-26754.0,-4204.2,0.0,0.0,0.0
1,-112875.0,-3250.8,-29076.6,0.0,0.0,0.0
1,-21942.9,-972.0,-45927.0,0.0,0.0,0.0
1,-4272.0,-3123.9,-4005.0,0.0,0.0,0.0
1,-175140.0,-44480.0,-23630.0,0.0,0.0,0.0
1,-215688.0,-235417.6,-25581.6,0.0,0.0,0.0
1,-890.0,-534.0,-12460.0,0.0,0.0,0.0
1,-38040.0,-27198.6,-118684.8,0.0,0.0,0.0
1,-11904.0,-14310.4,-1075.2,0.0,0.0,0.0
1,-13950.0,-50220.0,-34720.0,0.0,0.0,0.0
1,-6940.8,-6266.0,-38174.4,0.0,0.0,0.0
1,-20189.4,-201096.0,-165984.0,0.0,0.0,0.0
1,-119376.0,-82071.0,-71625.6,0.0,0.0,0.0
1,-211862.0,-24540.0,-7852.8,0.0,0.0,0.0
1,-72.4,-3801.0,-7656.3,0.0,0.0,0.0
1,-1380.0,-441.6,-1320.2,0.0,0.0,0.0
1,-14994.0,-6115.2,-27489.0,0.0,0.0,0.0
1,-23506.0,-109500.0,-16352.0,0.0,0.0,0.0
1,-9345.6,-2230.2,-12460.8,0.0,0.0,0.0
1,-117500.0,0.0,-103776.0,0.0,0.0,0.0
1,-1716.8,-2401.2,-1740.0,0.0,0.0,0.0
1,-11419.2,-34495.5,-6661.2,0.0,0.0,0.0
1,-233387.0,-56116.8,-37151.4,0.0,0.0,0.0
1,-1203.2,-6912.0,-15744.0,0.0,0.0,0.0
1,-1996.8,-748.8,-9984.0,0.0,0.0,0.0
1,-13583.0,-101952.4,-70951.2,0.0,0.0,0.0
1,-10929.6,-2760.0,-10120.0,0.0,0.0,0.0
1,-150336.0,-43926.3,0.0,0.0,0.0,0.0
1,-124320.0,-333000.0,-170496.0,0.0,0.0,0.0
1,-809.6,-5299.2,-358.8,0.0,0.0,0.0
1,-2640.0,-13662.0,-148500.0,0.0,0.0,0.0
1,-158.4,-768.0,-2304.0,0.0,0.0,0.0
1,-180835.2,-41924.4,-237636.0,0.0,0.0,0.0
1,-11764.0,-49824.0,-119370.0,0.0,0.0,0.0
1,-33840.0,-19063.2,-25662.0,0.0,0.0,0.0
1,-47628.0,-47628.0,-113400.0,0.0,0.0,0.0
1,-17953.6,-31327.2,-59540.0,0.0,0.0,0.0
1,-2482.5,-7149.6,-6255.9,0.0,0.0,0.0
1,-117631.8,-12064.8,-99808.8,0.0,0.0,0.0
1,-81324.0,-60240.0,-7454.7,0.0,0.0,0.0
1,-89241.6,-123255.0,-17529.6,0.0,0.0,0.0
1,-730.8,-40716.0,-1392.0,0.0,0.0,0.0
1,-13370.4,-30083.4,-12999.0,0.0,0.0,0.0
1,-6768.0,-7783.2,-1128.0,0.0,0.0,0.0
1,-5280.0,-2508.0,-3168.0,0.0,0.0,0.0
1,-28500.0,-30780.0,-456.0,0.0,0.0,0.0
1,-216.0,-18048.0,-6120.0,0.0,0.0,0.0
1,-11180.0,-30960.0,-42140.0,0.0,0.0,0.0
1,-15168.0,-2133.0,-11376.0,0.0,0.0,0.0
1,0.0,-9172.8,-2620.8,0.0,0.0,0.0
1,-146090.1,-80337.6,-14346.0,0.0,0.0,0.0
1,-2640.0,-82280.0,-59136.0,0.0,0.0,0.0
1,-67000.5,-7090.0,-23397.0,0.0,0.0,0.0
1,-3190.0,-5566.0,-11088.0,0.0,0.0,0.0
1,-1326.0,-1833.0,-4576.0,0.0,0.0,0.0
1,-3902.4,-13008.0,-53658.0,0.0,0.0,0.0
1,-87185.7,-131800.0,-13048.2,0.0,0.0,0.0
1,-1069.2,-6609.6,-29484.0,0.0,0.0,0.0
1,-11304.0,-39564.0,-94200.0,0.0,0.0,0.0
1,-1677.0,-18060.0,-9030.0,0.0,0.0,0.0
1,-8568.0,-14175.0,-6192.0,0.0,0.0,0.0
1,-499.2,-86.4,-1536.0,0.0,0.0,0.0
1,-2247.0,-4526.1,-9630.0,0.0,0.0,0.0
1,-3312.0,-5961.6,-5796.0,0.0,0.0,0.0
1,-224659.5,-47208.0,-171972.0,0.0,0.0,0.0
1,-199320.0,-16308.0,-113068.8,0.0,0.0,0.0
1,-27552.0,-12054.0,-11709.6,0.0,0.0,0.0
1,-1274.0,-73255.0,-16052.4,0.0,0.0,0.0
1,-114210.0,-68040.0,0.0,0.0,0.0,0.0
1,-3213.0,0.0,-5202.0,0.0,0.0,0.0
1,-59644.8,-115627.2,-137340.0,0.0,0.0,0.0
